epoch,train_srcc,test_srcc,best_srcc,rl2
299,0.9618,0.7102,0.8398,0.6194
300,0.9617,0.7440,0.8398,0.6196
301,0.9627,0.7347,0.8398,0.6125
302,0.9650,0.7210,0.8398,0.6194
303,0.9606,0.7415,0.8398,0.6481
304,0.9631,0.7286,0.8398,0.6347
305,0.9666,0.7357,0.8398,0.6421
306,0.9676,0.7106,0.8398,0.6186
307,0.9620,0.7229,0.8398,0.6414
308,0.9633,0.7070,0.8398,0.6126
309,0.9653,0.7364,0.8398,0.6220
310,0.9664,0.7347,0.8398,0.6848
311,0.9697,0.7384,0.8398,0.6526
312,0.9626,0.6989,0.8398,0.6311
313,0.9658,0.7550,0.8398,0.6456
314,0.9631,0.7273,0.8398,0.6548
315,0.9619,0.7264,0.8398,0.6408
316,0.9606,0.7159,0.8398,0.6551
317,0.9667,0.7467,0.8398,0.6531
318,0.9651,0.7176,0.8398,0.6129
319,0.9669,0.7320,0.8398,0.6541
320,0.9682,0.7347,0.8398,0.6235
321,0.9653,0.7163,0.8398,0.6457
322,0.9609,0.7065,0.8398,0.6327
323,0.9662,0.7086,0.8398,0.6238
324,0.9636,0.7416,0.8398,0.6454
325,0.9702,0.7209,0.8398,0.6266
326,0.9620,0.7327,0.8398,0.6401
327,0.9606,0.7446,0.8398,0.6636
328,0.9653,0.7258,0.8398,0.6311
329,0.9653,0.7142,0.8398,0.6414
330,0.9654,0.7256,0.8398,0.6428
331,0.9671,0.7377,0.8398,0.6611
332,0.9634,0.6982,0.8398,0.6276
333,0.9594,0.7174,0.8398,0.6341
334,0.9617,0.7243,0.8398,0.6843
335,0.9671,0.7093,0.8398,0.6263
336,0.9686,0.7191,0.8398,0.6453
337,0.9647,0.7325,0.8398,0.6582
338,0.9606,0.7121,0.8398,0.6379
339,0.9605,0.7266,0.8398,0.6484
340,0.9643,0.7065,0.8398,0.6391
341,0.9628,0.7225,0.8398,0.6076
342,0.9672,0.7184,0.8398,0.6410
343,0.9663,0.7421,0.8398,0.6434
344,0.9685,0.7508,0.8398,0.6584
345,0.9645,0.7216,0.8398,0.6465
346,0.9631,0.7117,0.8398,0.6241
347,0.9659,0.7238,0.8398,0.6463
348,0.9656,0.7296,0.8398,0.6488
349,0.9623,0.6986,0.8398,0.6192
350,0.9626,0.7398,0.8398,0.6604
351,0.9650,0.7002,0.8398,0.6463
352,0.9639,0.7319,0.8398,0.6236
353,0.9642,0.7081,0.8398,0.6204
354,0.9627,0.7081,0.8398,0.6219
355,0.9654,0.7487,0.8398,0.6515
356,0.9631,0.7094,0.8398,0.6423
357,0.9635,0.7079,0.8398,0.6372
358,0.9661,0.7279,0.8398,0.6252
359,0.9643,0.7266,0.8398,0.6498
360,0.9702,0.7161,0.8398,0.6226
361,0.9644,0.7329,0.8398,0.6506
362,0.9668,0.7287,0.8398,0.6369
363,0.9670,0.7076,0.8398,0.6191
364,0.9670,0.7093,0.8398,0.6351
365,0.9667,0.7350,0.8398,0.6668
366,0.9649,0.7125,0.8398,0.6643
367,0.9634,0.7022,0.8398,0.6375
368,0.9644,0.7206,0.8398,0.6319
369,0.9658,0.7246,0.8398,0.6283
370,0.9639,0.7367,0.8398,0.6505
371,0.9621,0.7049,0.8398,0.6109
372,0.9637,0.7203,0.8398,0.6247
373,0.9637,0.7069,0.8398,0.6219
374,0.9611,0.7449,0.8398,0.6335
375,0.9676,0.6992,0.8398,0.6276
376,0.9630,0.7094,0.8398,0.6056
377,0.9662,0.7427,0.8398,0.6261
378,0.9642,0.7182,0.8398,0.6504
379,0.9684,0.7428,0.8398,0.6669
380,0.9680,0.7449,0.8398,0.6384
381,0.9676,0.7131,0.8398,0.6390
382,0.9630,0.7339,0.8398,0.6271
383,0.9654,0.7330,0.8398,0.6395
384,0.9672,0.7087,0.8398,0.6258
385,0.9662,0.7019,0.8398,0.6306
386,0.9641,0.7122,0.8398,0.6230
387,0.9660,0.7158,0.8398,0.6204
388,0.9608,0.7052,0.8398,0.6372
389,0.9641,0.7308,0.8398,0.6056
390,0.9632,0.7099,0.8398,0.6221
391,0.9640,0.7164,0.8398,0.6251
392,0.9653,0.7313,0.8398,0.6653
393,0.9613,0.7182,0.8398,0.6635
394,0.9695,0.6990,0.8398,0.6187
395,0.9632,0.7083,0.8398,0.6167
396,0.9632,0.6994,0.8398,0.6225
397,0.9585,0.7457,0.8398,0.6272
398,0.9594,0.7060,0.8398,0.6104
399,0.9662,0.7311,0.8398,0.6693
400,0.9630,0.6962,0.8398,0.6166
401,0.9663,0.7414,0.8398,0.6656
402,0.9674,0.7396,0.8398,0.6344
403,0.9627,0.7368,0.8398,0.6650
404,0.9612,0.7251,0.8398,0.6111
405,0.9680,0.7279,0.8398,0.6173
406,0.9563,0.7452,0.8398,0.6648
407,0.9653,0.7203,0.8398,0.6244
408,0.9668,0.6917,0.8398,0.6296
409,0.9617,0.7263,0.8398,0.6225
410,0.9651,0.7169,0.8398,0.6219
411,0.9652,0.7303,0.8398,0.6621
